NOC,Year,X3x3.Basketball,X3x3.Basketball..Basketball,Aeronautics,Alpinism,Archery,Art.Competitions,Artistic.Gymnastics,Artistic.Swimming,Athletics,Badminton,Baseball,Baseball.Softball,Basketball,Basque.Pelota,Beach.Volleyball,Boxing,Breaking,Canoe.Slalom,Canoe.Sprint,Canoeing,Cricket,Croquet,Cycling,Cycling.BMX.Freestyle,Cycling.BMX.Racing,Cycling.Mountain.Bike,Cycling.Road,Cycling.Road..Cycling.Mountain.Bike,Cycling.Road..Cycling.Track,Cycling.Road..Triathlon,Cycling.Track,Diving,Equestrian,Equestrianism,Fencing,Figure.Skating,Football,Golf,Gymnastics,Handball,Hockey,Ice.Hockey,Jeu.De.Paume,Judo,Karate,Lacrosse,Marathon.Swimming,Marathon.Swimming..Swimming,Modern.Pentathlon,Motorboating,Polo,Racquets,Rhythmic.Gymnastics,Roque,Rowing,Rugby,Rugby.Sevens,Sailing,Shooting,Skateboarding,Softball,Sport.Climbing,Surfing,Swimming,Synchronized.Swimming,Table.Tennis,Taekwondo,Tennis,Trampoline.Gymnastics,Trampolining,Triathlon,Tug.Of.War,Volleyball,Water.Polo,Weightlifting,Wrestling,Total,Host,,,,,,
ALG,2016,0,0,0,0,0,0,0,0,0.012759168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
ALG,2024,0,0,0,0,0,0,0.004854366,0,0.00340136,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
ANZ,1908,0,0,0,0,0,0,0,0,0.019280205,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0.173333329,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
ANZ,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89552238,0,0,0,0.005780347,0,0,0,0,0,0,0,0,7,0,,,,,,
ARG,1924,0,0,0,0,0,0,0,0,0.015952144,0,0,0,0,0,0,0.22099448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,
ARG,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104651163,0,1.168949776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028776976,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,
ARG,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178770952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76190476,0,0,0,0.017241378,0,0,0,0,0,0,0,0,0.002747253,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,
ARG,1948,0,0,0,0,0,0,0,0,0.0723121,0,0,0,0,0,0,0.117073168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34946236,0.05555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,
ARG,1952,0,0,0,0,0,0,0,0,0.02232144,0,0,0,0,0,0,0.08032129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044334972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03521127,0,5,0,,,,,,
ARG,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01904762,0,2,0,,,,,,
ARG,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06696429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
ARG,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022801303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025139664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
ARG,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042986417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
ARG,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044554455,0,0,0,0,0.60251046,0,0,0,2,0,,,,,,
ARG,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,1,0,,,,,,
ARG,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014084505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835051554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02183406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
ARG,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.462857152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109452739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,
ARG,2004,0,0,0,0,0,0,0,0,0,0,0,0,0.501742164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602352944,0,0,0,1.45454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054862841,0,0,0,0,0,0.011124846,0,0,0,0.095238096,0,0,0,0,0,0,0,0,6,0,,,,,,
ARG,2008,0,0,0,0,0,0,0,0,0,0,0,0,0.501742164,0,0,0,0,0,0,0,0,0,0.03680982,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266524523,0,0,0,0.661498704,0,0,0.023316066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,
ARG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20155039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04221636,0,0,0,0,0,0,0,0,0.015625,0.03496503,0,0,0,0,0,0,0,0,4,0,,,,,,
ARG,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.569230764,0,0,0.005141388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068421054,0,0,0,0,0,0,0,0,0,0.027972024,0,0,0,0,0,0,0,0,4,0,,,,,,
ARG,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.500000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000008,0,0,0,3,0,,,,,,
ARG,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.310843378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
ARM,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039900248,2,0,,,,,,
ARM,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016260164,0,1,0,,,,,,
ARM,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014134276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071146248,0.052478136,5,0,,,,,,
ARM,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01984127,0.041297935,2,0,,,,,,
ARM,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054901959,0.046242776,4,0,,,,,,
ARM,2020,0,0,0,0,0,0,0.001885014,0,0,0,0,0,0,0,0,0.010380624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010152284,0.020761248,4,0,,,,,,
ARM,2024,0,0,0,0,0,0,0.003236244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024590163,0.03436426,4,0,,,,,,
AUS,1896,0,0,0,0,0,0,0,0,0.056603775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,2,0,,,,,,
AUS,1900,0,0,0,0,0,0,0,0,0.068376068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030534352,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
AUS,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,
AUS,1920,0,0,0,0,0,0,0,0,0.009422848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459330144,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
AUS,1924,0,0,0,0,0,0,0,0,0.017946162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456273765,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,
AUS,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008810572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004048583,0,0,0,0,0,0,0,0,0.05755396,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,
AUS,1936,0,0,0,0,0,0,0,0,0.007944392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
AUS,1948,0,0,0,0,0,0,0,0,0.291151282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025157232,0,0,0,0,0,0,0,0,0.140703514,0,0,0,0,0,0,0,0,0,0,0,0.034934496,13,0,,,,,,
AUS,1952,0,0,0,0,0,0,0,0,0.1190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164524416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344827588,0,0,0,0,0,0,0,0,0.037267074,0,0,0,0,0,0,0,0,0,0,0.021126762,0,11,0,,,,,,
AUS,1956,0,0,0,0,0,0,0,0,1.80059232,0,0,0,0,0,0,0.05590062,0,0,0,0.17808219,0,0,0.164383568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209302328,0,0,0.357142852,0,0,0,0,0,2.80898876,0,0,0,0,0,0,0,0,0,0,0,0,35,1,,,,,,
AUS,1964,0,0,0,0,0,0,0,0,0.26966292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867256642,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146666663,0,0,0,0,0,1.657608693,0,0,0,0,0,0,0,0,0,0,0,0,18,0,,,,,,
AUS,1968,0,0,0,0,0,0,0,0,0.156133845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240343348,0,0,0,0,0,0,0.774703552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276536315,0,0,0,0,0,0,0,0,1.052802576,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,,,,,
AUS,1972,0,0,0,0,0,0,0,0,0.04270464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08555133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201238388,0,0,0,0,0,0.625494824,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,,,,,
AUS,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227642282,0,0,0,0,0,0,1.30813953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140077824,0,0,0,0,0,0.063197024,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
AUS,1980,0,0,0,0,0,0,0,0,0.0197161,0,0,0,0,0,0,0,0,0,0,0.031620552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823915905,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,,,,,
AUS,1984,0,0,0,0,0,0,0,0,0.07526883,0,0,0,0,0,0,0,0,0,0,0.06688963,0,0,0.160000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741925,0,0,0.086666671,0.020408168,0,0,0,0,1.13636362,0,0,0,0,0,0,0,0,0,0,0.043010752,0,24,0,,,,,,
AUS,1988,0,0,0,0,0,0,0,0,0.036857416,0,0,0,0,0,0,0.00925926,0,0,0,0.07731959,0,0,0.3088803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630573248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105947952,0,0,0,0.0990099,0,0,0,0,0,0,0,0,14,0,,,,,,
AUS,1992,0,0,0,0,0,0,0,0,0.04089582,0,0,0,0,0,0,0,0,0,0,0.2044293,0,0,0.268551244,0,0,0,0,0,0,0,0,0,0,0.111386142,0,0,0,0,0,0,1.630573248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254160368,0,0,0.088435373,0,0,0,0,0,0.406811115,0,0,0,0.08,0,0,0,0,0,0,0,0,27,0,,,,,,
AUS,1996,0,0,0,0,0,0,0,0,0.060352056,0,0,0,1.014084504,0,0.142857144,0,0,0,0,0.208695648,0,0,0.431506852,0,0,0,0,0,0,0,0,0,0,0.186588928,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.210950065,0,0,0.139737984,0.09803922,0,1.875,0,0,1.19266056,0,0,0,0.065040648,0,0,0,0,0,0,0.028806582,0,41,0,,,,,,
AUS,2000,0,0,0,0,0.058252428,0,0,0,0.126418136,0,0,0,1.006993008,0,0.20833333,0,0,0,0,0.147321438,0,0,0.550724652,0,0,0,0,0,0,0,0,0.268907568,0,0.389830519,0,0,0,0,0,0,2.925714272,0,0,0.035175882,0,0,0,0,0,0,0,0,0,0,1.684491975,0,0,0.31343283,0.160267104,0,1.875,0,0,2.351522133,0,0,0.156862744,0.088709676,0,0.083333334,0.06,0,0,1.463203456,0,0,58,1,,,,,,
AUS,2004,0,0,0,0,0.056603772,0,0,0,0.124137945,0,3.0157068,0,1.003484328,0,0,0,0,0,0,0.131336398,0,0,1.009630803,0,0,0,0,0,0,0,0,0.734693872,0,0,0,0,0,0,0,0,1.45454544,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529517015,0,0,0,0.100358412,0,1.90677966,0,0,1.647713216,0,0,0,0.043650794,0,0,0.06060606,0,0,0,0,0,50,0,,,,,,
AUS,2008,0,0,0,0,0,0,0,0,0.080213895,0,0,0,1.003484328,0,0,0,0,0,0,0.403669728,0,0,0.056748454,0,0,0,0,0,0,0,0,0.263736256,0,0.352941168,0,0,0,0,0,0,1.449612417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682060368,0,0,0.255,0.045060652,0,1.875,0,0,2.809605526,0,0,0,0,0,0,0.09090909,0,0,1.3203125,0,0,46,0,,,,,,
AUS,2012,0,0,0,0,0,0,0,0,0.072431975,0,0,0,1.003484328,0,0,0,0,0,0,0.322966494,0,0,0.556438785,0,0,0,0,0,0,0,0,0.060773482,0,0,0,0,0,0,0,0,1.322997408,0,0,0,0,0,0,0,0,0,0,0,0,0,1.110909108,0,0,0.274406327,0,0,0,0,0,1.851755538,0,0,0,0,0,0,0.054545454,0,0,1.315175108,0,0,35,0,,,,,,
AUS,2016,0,0,0,0,0.105,0,0,0,0.05183412,0,0,0,0,0,0,0,0,0,0,0.13605442,0,0,0.386806586,0,0,0,0,0,0,0,0,0.11235955,0,0.270422544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.474545444,0,1.003344475,0.202631583,0.041441446,0,0,0,0,1.693877529,0,0,0,0,0,0,0,0,0,0,0,0,29,0,,,,,,
AUS,2020,0,0,0,0,0,0,0,0,0.084124235,0,0,15,1.000000008,0,0.083333332,0.01730104,0,0.087912088,0.116504856,0,0,0,0,0.111111112,0,0,0.042471044,0,0,0,0.450704224,0.039106144,0.214285716,0,0,0,0,0,0,0,1.500000012,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,1.21673004,0,0,0.111428577,0,0.0625,0,0,0.1,2.984088172,0,0,0,0.117241384,0,0,0,0,0,0,0,0,46,0,,,,,,
AUS,2024,4,1,0,0,0,0,0,0,0.30612249,0,0,0,0.881533098,0,0,0.096774192,0,0.145454544,0.24418604,0,0,0,0,0.083333334,0.044776119,0,0.034188032,0,0,0,0.982300901,0.063953483,0.053012058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.150793652,0,0,0.072727272,0.02702703,0.204545457,0,0,0.083333332,3.310018918,0,0,0,0.102040815,0,0,0,0,0,1.18181817,0,0,53,0,,,,,,
AUT,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292682928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
AUT,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050473184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274809159,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,
